R	400,300
A	0.050000	1.000000,1.000000,1.000000
c	0.000000,1.000000,-10.000000	0.000000,0.000000,1.000000	0.000000
l	-4.000000,4.000000,-7.000000	0.005000	1.000000,0.000000,0.000000
tr	0.000000,0.000000,0.000000	0.000000,0.000000,0.000000	0.000000,2.000000,0.000000	1.500000,1.000000,0.000000	1.000000,1.000000,1.000000
x : 0.333333	 y : 0.000000	 z : 123.333333
x : 0.666667	 y : 0.000000	 z : 123.333333
x : 1.333333	 y : 0.000000	 z : 123.333333
x : 1.666667	 y : 0.000000	 z : 123.333333
x : 2.000000	 y : 0.000000	 z : 90.000000
x : 0.200000	 y : 0.000000	 z : 70.000000
x : 1.200000	 y : 0.000000	 z : 70.000000
x : 0.833333	 y : 0.000000	 z : 56.666667
x : 1.000000	 y : 0.000000	 z : 56.666667
x : 0.500000	 y : 0.000000	 z : 40.000000
x : 0.222222	 y : 0.000000	 z : 34.444444
x : 1.111111	 y : 0.000000	 z : 34.444444
x : 1.555556	 y : 0.000000	 z : 34.444444
x : 0.500000	 y : 0.000000	 z : 30.000000
x : 1.000000	 y : 0.000000	 z : 30.000000
x : 1.800000	 y : 0.000000	 z : 30.000000
x : 1.900000	 y : 0.000000	 z : 30.000000
x : 0.090909	 y : 0.000000	 z : 26.363636
x : 0.181818	 y : 0.000000	 z : 26.363636
x : 0.727273	 y : 0.000000	 z : 26.363636
x : 1.090909	 y : 0.000000	 z : 26.363636
x : 1.363636	 y : 0.000000	 z : 26.363636
x : 1.454545	 y : 0.000000	 z : 26.363636
x : 1.545455	 y : 0.000000	 z : 26.363636
x : 1.818182	 y : 0.000000	 z : 26.363636
x : 0.166667	 y : 0.000000	 z : 23.333333
x : 0.416667	 y : 0.000000	 z : 23.333333
x : 0.750000	 y : 0.000000	 z : 23.333333
x : 0.916667	 y : 0.000000	 z : 23.333333
x : 1.333333	 y : 0.000000	 z : 23.333333
x : 1.500000	 y : 0.000000	 z : 23.333333
x : 1.750000	 y : 0.000000	 z : 23.333333
x : 1.692308	 y : 0.000000	 z : 20.769231
x : 1.071429	 y : 0.000000	 z : 18.571429
x : 1.857143	 y : 0.000000	 z : 18.571429
x : 0.333333	 y : 0.000000	 z : 16.666667
x : 0.866667	 y : 0.000000	 z : 16.666667
x : 0.312500	 y : 0.000000	 z : 15.000000
x : 1.625000	 y : 0.000000	 z : 15.000000
x : 0.764706	 y : 0.000000	 z : 13.529412
x : 1.294118	 y : 0.000000	 z : 13.529412
x : 1.470588	 y : 0.000000	 z : 13.529412
x : 1.882353	 y : 0.000000	 z : 13.529412
x : 2.000000	 y : 0.000000	 z : 13.529412
x : 1.833333	 y : 0.000000	 z : 12.222222
x : 1.944444	 y : 0.000000	 z : 12.222222
x : 0.578947	 y : 0.000000	 z : 11.052632
x : 0.947368	 y : 0.000000	 z : 11.052632
x : 1.052632	 y : 0.000000	 z : 11.052632
x : 1.578947	 y : 0.000000	 z : 11.052632
x : 2.000000	 y : 0.000000	 z : 11.052632
x : 0.100000	 y : 0.000000	 z : 10.000000
x : 0.400000	 y : 0.000000	 z : 10.000000
x : 0.600000	 y : 0.000000	 z : 10.000000
x : 0.700000	 y : 0.000000	 z : 10.000000
x : 0.950000	 y : 0.000000	 z : 10.000000
x : 1.000000	 y : 0.000000	 z : 10.000000
x : 1.350000	 y : 0.000000	 z : 10.000000
x : 1.650000	 y : 0.000000	 z : 10.000000
x : 1.800000	 y : 0.000000	 z : 10.000000
x : 0.238095	 y : 0.000000	 z : 9.047619
x : 0.428571	 y : 0.000000	 z : 9.047619
x : 0.619048	 y : 0.000000	 z : 9.047619
x : 1.333333	 y : 0.000000	 z : 9.047619
x : 1.523810	 y : 0.000000	 z : 9.047619
